
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:0C:E6:9A:E3:C3, 2015-10-22 14:38:23, 2015-10-22 14:53:18,  1,  54, WEP , WEP, OPN, -44,     7207,    78010,   0.  0.  0.  0,   9, cs461fa15, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7C:D1:C3:91:C4:10, 2015-10-22 14:42:31, 2015-10-22 14:51:36, -41,     1695, 00:0C:E6:9A:E3:C3,
88:53:2E:7B:D8:B0, 2015-10-22 14:38:26, 2015-10-22 14:48:35, -54,     1177, 00:0C:E6:9A:E3:C3,
A4:5E:60:C1:BA:01, 2015-10-22 14:38:26, 2015-10-22 14:41:06, -66,      370, 00:0C:E6:9A:E3:C3,
B8:E8:56:04:07:B2, 2015-10-22 14:38:25, 2015-10-22 14:39:14, -72,       71, 00:0C:E6:9A:E3:C3,
E0:06:E6:68:67:82, 2015-10-22 14:38:28, 2015-10-22 14:52:47, -77,     5770, 00:0C:E6:9A:E3:C3,
E8:2A:EA:0F:39:71, 2015-10-22 14:51:15, 2015-10-22 14:53:10, -77,      831, 00:0C:E6:9A:E3:C3,
AC:29:3A:EB:74:D0, 2015-10-22 14:38:23, 2015-10-22 14:53:18, -57,    51673, 00:0C:E6:9A:E3:C3,
04:69:F8:DE:6C:17, 2015-10-22 14:38:32, 2015-10-22 14:53:18, -54,    55775, 00:0C:E6:9A:E3:C3,
AC:29:3A:EB:14:04, 2015-10-22 14:41:25, 2015-10-22 14:53:04, -45,     1189, 00:0C:E6:9A:E3:C3,
00:C0:CA:81:CB:B9, 2015-10-22 14:50:34, 2015-10-22 14:53:03, -44,      442, 00:0C:E6:9A:E3:C3, cs461fa15

