
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:0C:E6:9A:E3:C3, 2015-10-22 22:40:59, 2015-10-22 22:42:48,  1,  54, WEP , WEP, OPN, -48,      998,    24683,   0.  0.  0.  0,   9, cs461fa15, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:3A:64:B0:8C:27, 2015-10-22 22:41:02, 2015-10-22 22:41:12,  -1,       39, 00:0C:E6:9A:E3:C3,
B8:E8:56:32:06:6C, 2015-10-22 22:41:01, 2015-10-22 22:42:48, -64,     3562, 00:0C:E6:9A:E3:C3,
AC:29:3A:EB:74:D0, 2015-10-22 22:40:59, 2015-10-22 22:42:48, -65,     8375, 00:0C:E6:9A:E3:C3,
04:69:F8:DE:6C:17, 2015-10-22 22:40:59, 2015-10-22 22:42:48, -63,    13204, 00:0C:E6:9A:E3:C3,
0C:8B:FD:E5:AD:53, 2015-10-22 22:40:59, 2015-10-22 22:42:48, -57,     1052, 00:0C:E6:9A:E3:C3,
68:5D:43:89:07:0B, 2015-10-22 22:42:15, 2015-10-22 22:42:48, -59,      890, 00:0C:E6:9A:E3:C3,
24:FD:52:7B:C2:BB, 2015-10-22 22:41:02, 2015-10-22 22:42:26, -57,      485, 00:0C:E6:9A:E3:C3,
20:C9:D0:CB:B8:D3, 2015-10-22 22:40:59, 2015-10-22 22:42:48, -56,      759, 00:0C:E6:9A:E3:C3,
AC:29:3A:EB:14:04, 2015-10-22 22:40:59, 2015-10-22 22:42:48, -63,     1930, 00:0C:E6:9A:E3:C3,
60:F8:1D:A7:DE:0E, 2015-10-22 22:41:27, 2015-10-22 22:42:48, -56,     1603, 00:0C:E6:9A:E3:C3,
34:02:86:A0:11:08, 2015-10-22 22:40:59, 2015-10-22 22:42:48, -55,     1020, 00:0C:E6:9A:E3:C3,

